qn_no,qn,qn_type,op1,img1,op2,img2,op3,img3,op4,img4,prev_qn_no,sel_op,resource,glossary,add_annex,add_input,final_qn,qn_code
9,Annex A.1,None,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,4,personal protection,1,None,None,None,1,0
10,Annex A.2,None,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,4,maintenance,1,None,None,None,1,0
11,Annex A.3,None,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,4,none of the above,1,None,None,None,1,0
14,Annex B,None,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,5,op2,1,None,None,None,1,0
15,Annex B,None,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,6,op2,1,None,None,None,1,0
18,Annex B,None,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,7,op2,1,None,None,None,1,0
19,Annex B,None,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,8,op2,1,None,None,None,1,0
22,Annex C,None,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,12,op2,1,None,None,None,1,0
23,Annex C,None,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,13,op2,1,None,None,None,1,0
26,Annex C,None,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,16,op2,1,None,None,None,1,0
27,Annex C,None,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,17,op2,1,None,None,None,1,0
34,Annex C,None,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,24,op2,1,None,None,None,1,0
35,Annex C,None,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,25,op2,1,None,None,None,1,0
36,Annex D.1,None,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,28,op1,1,None,None,None,1,0
125,Annex D.10,None,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,69,maintenance,1,None,None,None,1,0
127,Annex D.10,None,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,71,maintenance,1,None,None,None,1,0
129,Annex D.10,None,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,73,maintenance,1,None,None,None,1,0
131,Annex D.10,None,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,75,maintenance,1,None,None,None,1,0
157,Annex D.10,None,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,77,maintenance,1,None,None,None,1,0
159,Annex D.10,None,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,79,maintenance,1,None,None,None,1,0
161,Annex D.10,None,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,81,maintenance,1,None,None,None,1,0
163,Annex D.10,None,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,83,maintenance,1,None,None,None,1,0
189,Annex D.10,None,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,85,maintenance,1,None,None,None,1,0
191,Annex D.10,None,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,87,maintenance,1,None,None,None,1,0
193,Annex D.10,None,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,89,maintenance,1,None,None,None,1,0
195,Annex D.10,None,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,91,maintenance,1,None,None,None,1,0
132,Annex D.11,None,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,68,personal protection,1,None,None,None,1,0
134,Annex D.11,None,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,70,personal protection,1,None,None,None,1,0
136,Annex D.11,None,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,72,personal protection,1,None,None,None,1,0
138,Annex D.11,None,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,74,personal protection,1,None,None,None,1,0
164,Annex D.11,None,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,76,personal protection,1,None,None,None,1,0
166,Annex D.11,None,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,78,personal protection,1,None,None,None,1,0
168,Annex D.11,None,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,80,personal protection,1,None,None,None,1,0
170,Annex D.11,None,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,82,personal protection,1,None,None,None,1,0
196,Annex D.11,None,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,84,personal protection,1,None,None,None,1,0
198,Annex D.11,None,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,86,personal protection,1,None,None,None,1,0
200,Annex D.11,None,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,88,personal protection,1,None,None,None,1,0
202,Annex D.11,None,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,90,personal protection,1,None,None,None,1,0
133,Annex D.12,None,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,69,personal protection,1,None,None,None,1,0
135,Annex D.12,None,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,71,personal protection,1,None,None,None,1,0
137,Annex D.12,None,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,73,personal protection,1,None,None,None,1,0
139,Annex D.12,None,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,75,personal protection,1,None,None,None,1,0
165,Annex D.12,None,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,77,personal protection,1,None,None,None,1,0
167,Annex D.12,None,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,79,personal protection,1,None,None,None,1,0
169,Annex D.12,None,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,81,personal protection,1,None,None,None,1,0
171,Annex D.12,None,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,83,personal protection,1,None,None,None,1,0
197,Annex D.12,None,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,85,personal protection,1,None,None,None,1,0
199,Annex D.12,None,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,87,personal protection,1,None,None,None,1,0
201,Annex D.12,None,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,89,personal protection,1,None,None,None,1,0
203,Annex D.12,None,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,91,personal protection,1,None,None,None,1,0
140,Annex D.13,None,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,68,"maintenance, personal protection",1,None,None,None,1,0
142,Annex D.13,None,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,70,"maintenance, personal protection",1,None,None,None,1,0
144,Annex D.13,None,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,None,https://cdn-icons-png.flaticon.com/512/5405/5405811.png,72,"maintenance, personal protection",1,None,None,None,1,0
